epochs,accuracy,loss
85,0.9307333333333333,0.24146708846092224
86,0.9298833333333333,0.24099330604076385
87,0.9309666666666667,0.23990555107593536
88,0.9309166666666666,0.23860329389572144
89,0.93195,0.23479661345481873
90,0.9330666666666667,0.23205430805683136
91,0.9331166666666667,0.23142820596694946
92,0.9319,0.2340206354856491
93,0.93105,0.23625443875789642
94,0.9308333333333333,0.23635657131671906
95,0.93185,0.2341567426919937
96,0.9331,0.23066498339176178
97,0.9335666666666667,0.2282727062702179
98,0.9342,0.22703933715820312
99,0.9342333333333334,0.22698384523391724
100,0.9348166666666666,0.22562256455421448
101,0.9346833333333333,0.22439876198768616
102,0.9352,0.22309602797031403
103,0.9361166666666667,0.22056908905506134
104,0.93575,0.22031362354755402
105,0.9353,0.2214374840259552
106,0.9359666666666666,0.21945476531982422
107,0.9368,0.21805989742279053
108,0.9365166666666667,0.2189321219921112
109,0.9364666666666667,0.21769499778747559
110,0.9366166666666667,0.2168072909116745
111,0.93745,0.21457558870315552
112,0.93765,0.21483850479125977
113,0.9377666666666666,0.21520908176898956
114,0.9366833333333333,0.217485249042511
115,0.9357333333333333,0.21999600529670715
116,0.93685,0.21707415580749512
117,0.938,0.21344059705734253
118,0.93975,0.20908914506435394
119,0.9397833333333333,0.20875421166419983
120,0.9394666666666667,0.20759373903274536
121,0.9391833333333334,0.20715788006782532
122,0.9386666666666666,0.2083614617586136
123,0.9391166666666667,0.20863349735736847
124,0.9391666666666667,0.20842617750167847
125,0.9399166666666666,0.20728932321071625
126,0.9404166666666667,0.2055661976337433
127,0.9402333333333334,0.20564612746238708
128,0.9406,0.20341677963733673
129,0.9407666666666666,0.20325593650341034
130,0.9409833333333333,0.20352205634117126
131,0.9409833333333333,0.20245490968227386
132,0.9404666666666667,0.20238324999809265
133,0.94115,0.20135018229484558
134,0.9413333333333334,0.2025379240512848
135,0.9408333333333333,0.2033238708972931
136,0.94125,0.2034846395254135
137,0.9413166666666667,0.20206576585769653
