learning_rate,hidden_size1,hidden_size2,accuracy
0.01,4,4,0.6191666666666666
0.01,4,8,0.6375
0.01,4,16,0.62
0.01,4,32,0.5491666666666667
0.01,4,64,0.6541666666666667
0.01,4,128,0.6341666666666667
0.01,4,256,0.6041666666666666
0.01,4,512,0.6208333333333333
0.01,8,1,0.6525
0.01,8,2,0.6091666666666666
0.01,8,4,0.655
0.01,8,8,0.6133333333333333
0.01,8,16,0.6275
0.01,8,32,0.6166666666666667
0.01,8,64,0.5891666666666666
0.01,8,128,0.6325
0.01,8,256,0.5858333333333333
0.01,8,512,0.61
0.01,16,1,0.6016666666666667
0.01,16,2,0.5975
0.01,16,4,0.6233333333333333
0.01,16,8,0.6366666666666667
0.01,16,16,0.5741666666666667
0.01,16,32,0.6216666666666667
0.01,16,64,0.6141666666666666
0.01,16,128,0.6425
0.01,16,256,0.6258333333333334
0.01,16,512,0.6241666666666666
0.01,32,1,0.5675
0.01,32,2,0.5833333333333334
0.01,32,4,0.6108333333333333
0.01,32,8,0.62
0.01,32,16,0.6325
0.01,32,32,0.6016666666666667
0.01,32,64,0.6141666666666666
0.01,32,128,0.6366666666666667
0.01,32,256,0.6133333333333333
0.01,32,512,0.615
0.01,64,1,0.5975
0.01,64,2,0.5808333333333333
0.01,64,4,0.5783333333333334
0.01,64,8,0.6066666666666667
0.01,64,16,0.5991666666666666
0.01,64,32,0.6091666666666666
0.01,64,64,0.6508333333333334
0.01,64,128,0.6325
0.01,64,256,0.5883333333333334
0.01,64,512,0.5683333333333334
0.01,128,1,0.55
0.01,128,2,0.6033333333333334
0.01,128,4,0.6308333333333334
0.01,128,8,0.5833333333333334
0.01,128,16,0.6291666666666667
0.01,128,32,0.62
0.01,128,64,0.5833333333333334
0.01,128,128,0.615
0.01,128,256,0.6283333333333333
0.01,128,512,0.6208333333333333
0.01,256,1,0.59
0.01,256,2,0.615
0.01,256,4,0.6141666666666666
0.01,256,8,0.6108333333333333
0.01,256,16,0.61
0.01,256,32,0.6058333333333333
0.01,256,64,0.6191666666666666
0.01,256,128,0.6108333333333333
0.01,256,256,0.585
0.01,256,512,0.6
0.01,512,1,0.6108333333333333
0.01,512,2,0.6075
0.01,512,4,0.6383333333333333
0.01,512,8,0.6
0.01,512,16,0.5883333333333334
0.01,512,32,0.6125
0.01,512,64,0.6133333333333333
0.01,512,128,0.5716666666666667
0.01,512,256,0.6225
0.01,512,512,0.61                   # new: dropout3 and relu after second
0.001,4,4,0.26416666666666666
0.001,4,8,0.23083333333333333
0.001,4,16,0.23166666666666666
0.001,4,32,0.2875
0.001,4,64,0.2125
0.001,4,128,0.295
0.001,4,256,0.2275
0.001,8,4,0.25416666666666665
0.001,8,8,0.24916666666666668
0.001,8,16,0.2625
0.001,8,32,0.27416666666666667
0.001,8,64,0.2966666666666667
0.001,8,128,0.2425
